Person ID,Exists,Job ID,Candidate_SF_Id,Job_SF_Id,Job_Submission_Exists,Error
539789,Exist,179306,a00N300001F2z2EIAR,a02N300000qJPOAIA4,Not Exist,
539794,Not Exist,179306,,,N/A (candidate not in SF),
539808,Not Exist,179306,,,N/A (candidate not in SF),
539822,Exist,179306,a00N300001F2z2GIAR,a02N300000qJPOAIA4,Exist,
539831,Not Exist,179306,,,N/A (candidate not in SF),
539834,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
539834,Exist,179306,a00N300001GNRCMIA5,a02N300000qJPOAIA4,Not Exist,
539838,Not Exist,179306,,,N/A (candidate not in SF),
539851,Not Exist,179306,,,N/A (candidate not in SF),
539867,Not Exist,179306,,,N/A (candidate not in SF),
539873,Not Exist,179306,,,N/A (candidate not in SF),
539873,Not Exist,182162,,,N/A (candidate not in SF),
539904,Not Exist,179306,,,N/A (candidate not in SF),
539907,Not Exist,179306,,,N/A (candidate not in SF),
539912,Not Exist,179306,,,N/A (candidate not in SF),
539952,Exist,179303,a00N300001F2z2KIAR,a02N300000qJg7FIAS,Exist,
539972,Not Exist,182162,,,N/A (candidate not in SF),
539972,Not Exist,179306,,,N/A (candidate not in SF),
539980,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
539980,Exist,179306,a00N300001F2z2LIAR,a02N300000qJPOAIA4,Not Exist,
539992,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
540000,Not Exist,182162,,,N/A (candidate not in SF),
540000,Not Exist,179306,,,N/A (candidate not in SF),
540007,Not Exist,182162,,,N/A (candidate not in SF),
540025,Created,179306,a00N300001I5MCxIAN,,Created,
540134,Not Exist,179306,,,N/A (candidate not in SF),
540167,Not Exist,179306,,,N/A (candidate not in SF),
540243,Exist,179306,a00OL000002UvIDYA0,a02N300000qJPOAIA4,Not Exist,
540350,Exist,179306,a00N300001F2z2XIAR,a02N300000qJPOAIA4,Not Exist,
540350,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
540366,Not Exist,179306,,,N/A (candidate not in SF),
540443,Exist,179306,a00N300001F2z2aIAB,a02N300000qJPOAIA4,Not Exist,
540554,Not Exist,179306,,,N/A (candidate not in SF),
540568,Not Exist,179306,,,N/A (candidate not in SF),
540623,Exist,179306,a00N300001F2z2dIAB,a02N300000qJPOAIA4,Not Exist,
540677,Exist,179306,a00N300001F2z2WIAR,a02N300000qJPOAIA4,Exist,
540727,Exist,179306,a00N300001Eu4omIAB,a02N300000qJPOAIA4,Not Exist,
540826,Not Exist,182162,,,N/A (candidate not in SF),
540826,Not Exist,179306,,,N/A (candidate not in SF),
540831,Not Exist,182162,,,N/A (candidate not in SF),
540834,Not Exist,182162,,,N/A (candidate not in SF),
540836,Not Exist,182162,,,N/A (candidate not in SF),
540838,Not Exist,182162,,,N/A (candidate not in SF),
540940,Not Exist,179306,,,N/A (candidate not in SF),
541007,Exist,179306,a00N300001F2z2jIAB,a02N300000qJPOAIA4,Not Exist,
544435,Exist,179303,a00N300001Eu4wKIAR,a02N300000qJg7FIAS,Exist,
544435,Exist,179306,a00N300001Eu4wKIAR,a02N300000qJPOAIA4,Not Exist,
544436,Not Exist,179306,,,N/A (candidate not in SF),
544437,Exist,179306,a00N300001F2zEgIAJ,a02N300000qJPOAIA4,Exist,
544437,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
544438,Not Exist,179306,,,N/A (candidate not in SF),
544438,Not Exist,182162,,,N/A (candidate not in SF),
544439,Not Exist,179306,,,N/A (candidate not in SF),
544441,Not Exist,179306,,,N/A (candidate not in SF),
544443,Exist,179303,a00N300001Eu4wLIAR,a02N300000qJg7FIAS,Exist,
544443,Exist,179306,a00N300001Eu4wLIAR,a02N300000qJPOAIA4,Exist,
544444,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
544445,Exist,179306,a00N300001F2zEiIAJ,a02N300000qJPOAIA4,Exist,
544446,Exist,179306,a00N300001F2zEjIAJ,a02N300000qJPOAIA4,Not Exist,
544462,Exist,179303,a00N300001Eu4wQIAR,a02N300000qJg7FIAS,Exist,
544466,Exist,179306,a00N300001F2zEoIAJ,a02N300000qJPOAIA4,Exist,
544475,Exist,179306,a00N300001F2zErIAJ,a02N300000qJPOAIA4,Exist,
544477,Exist,179306,a00N300001Eu4wWIAR,a02N300000qJPOAIA4,Exist,
544478,Exist,182162,,,Unresolved: Job__c match count = 7 (expected 1),
544478,Exist,179306,a00N300001F2zEsIAJ,a02N300000qJPOAIA4,Not Exist,
544481,Not Exist,182162,,,N/A (candidate not in SF),
544481,Not Exist,179306,,,N/A (candidate not in SF),
544486,Not Exist,182162,,,N/A (candidate not in SF),
