person id,count
7999215,2
2661616,2
7488167,2
5046737,2
3809591,2
4170746,2
8262468,2
8098554,2
5585415,2
7301551,2
7694110,2
6293034,2
5328098,2
7028649,2
2882783,2
3499562,2
3583325,2
8635087,2
6699587,2
4884512,2
3642678,2
3323284,2
6661417,2
7390223,2
6719904,2
5051192,2
3548343,2
4327664,2
2552320,2
8275249,2
6716347,2
3331037,2
2871001,2
4980910,2
7730239,2
5755113,2
5431347,2
2992039,2
9019187,2
7107464,2
6897275,2
6988100,2
6193513,2
8581138,2
6059478,2
8528105,2
7123914,2
7285364,2
9020797,2
7613457,2
6741804,2
4616072,2
8700275,2
5972513,2
2635737,2
3121211,2
1717066,2
8494671,2
2566900,2
6801571,2
2567019,2
3090564,2
5084641,2
4104707,2
7017816,2
9013337,2
4079002,2
7590029,2
6537456,2
2002860,2
8603719,2
6555210,2
6117643,2
5757795,2
3239601,2
5790756,2
7106202,2
2624078,2
7122061,2
8365481,2
6900804,2
3624394,2
4666908,2
3394125,2
1511130,2
6518715,2
3986548,2
5733415,2
7599659,2
8789167,2
8585391,2
8123035,2
3888386,2
4555647,2
2878696,2
4970254,2
3952374,2
6896756,2
6478564,2
2503451,2
2598001,2
6930299,2
6019567,2
5082847,2
5984530,2
3864911,2
5793168,2
3248126,2
8939695,2
7320471,2
7594125,2
7401461,2
3311792,2
7479032,2
3078928,2
4172369,2
3062526,2
8150530,2
6926431,2
6474813,2
8842944,2
8512600,2
6652902,2
8495535,2
7078647,2
9017618,2
8471379,2
7343776,2
6173983,2
6035510,2
7367391,2
2503071,2
6408958,2
6236024,2
3433056,2
4438605,2
5538728,2
6744413,2
3239598,2
3153212,2
7745155,2
5066969,2
6996634,2
3189707,2
3498645,2
6202493,2
6435075,2
7339706,2
6569095,2
8157234,2
7933079,2
4425287,2
8290534,2
7019217,2
7097640,2
6186171,2
6056413,2
2706749,2
3132775,2
8397544,2
6230187,2
8122976,2
9023593,1
9022184,1
9013488,1
9019004,1
8908444,1
9023747,1
9019235,1
9020961,1
9019007,1
8974427,1
9022534,1
9013486,1
9017643,1
9013871,1
9020438,1
9014300,1
9022112,1
9018326,1
9014607,1
9019398,1
9014309,1
9014281,1
9016177,1
9014959,1
9024151,1
9015351,1
9013868,1
9024150,1
9016568,1
9020956,1
9020789,1
9013950,1
9020445,1
9020351,1
9015625,1
9020352,1
9022796,1
9016168,1
9019662,1
9022192,1
9021029,1
9024159,1
9022899,1
9022629,1
8836208,1
8902151,1
9023753,1
9020363,1
9020430,1
9022187,1
9022793,1
8970103,1
9022209,1
9024222,1
8985024,1
8985041,1
8985286,1
8987693,1
9020806,1
9020348,1
9015646,1
9018082,1
9015814,1
9023754,1
9024219,1
9015169,1
9021216,1
9017647,1
9015801,1
9014445,1
9017785,1
9013958,1
9013946,1
9016171,1
8985035,1
9017645,1
9019543,1
9023738,1
9014606,1
9021022,1
9013956,1
9021753,1
9021256,1
9020338,1
8987687,1
8836260,1
9022188,1
9021922,1
9017790,1
9017504,1
9020437,1
9021920,1
9024231,1
8836492,1
9020887,1
9014948,1
9022803,1
9020790,1
8971887,1
9021733,1
9014624,1
9024158,1
9020356,1
9015170,1
8836280,1
9020804,1
9020347,1
9023739,1
8988004,1
9023113,1
9023749,1
9021252,1
9014302,1
9016178,1
9019966,1
9022901,1
